timestamp,red_x,red_y,green_x,green_y
12817066,145.0,123.0,0,0
12859733,145.0,123.0,0,0
12876800,145.0,123.0,0,0
12928000,145.0,123.0,145.0,123.0
12970666,145.0,123.0,0,0
12987733,145.0,123.0,0,0
13030400,0,0,0,0
13047466,145.0,123.0,0,0
13064533,0,0,0,0
13141333,145.0,123.0,0,0
13158400,145.0,123.0,145.0,123.0
13201066,0,0,0,0
13201066,145.0,123.0,0,0
13243733,145.5,123.0,145.5,123.0
13286400,0,0,0,0
13329066,145.5,123.0,145.0,123.0
13346133,0,0,0,0
13388800,145.0,123.0,0,0
13414400,145.0,123.0,0,0
13457066,145.0,123.0,0,0
13474133,0,0,0,0
13516800,145.5,123.0,0,0
13568000,0,0,0,0
13585066,0,0,0,0
13627733,0,0,0,0
13644800,0,0,0,0
13687466,0,0,0,0
13738666,145.0,123.0,0,0
13755733,145.0,123.0,0,0
13798400,145.0,123.0,0,0
13841066,0,0,0,0
13841066,145.0,123.0,0,0
13883733,145.0,123.0,0,0
13926400,145.0,123.0,0,0
13969066,0,0,0,0
13986133,145.5,123.0,0,0
14011733,0,0,0,0
14028800,0,0,0,0
14080000,145.5,123.0,0,0
14114133,0,0,0,0
14156800,0,0,0,0
14173866,145.5,123.0,0,0
14225066,0,0,0,0
14250666,0,0,0,0
14284800,0,0,0,0
14310400,0,0,0,0
14344533,145.5,123.0,0,0
14378666,0,0,0,0
14421333,0,0,0,0
14455466,145.0,123.0,0,0
14481066,145.0,123.0,0,0
14523733,145.0,123.0,0,0
14566400,145.0,123.0,145.0,123.0
14583466,145.0,123.0,0,0
14626133,145.0,123.0,0,0
14651733,0,0,0,0
14694400,0,0,0,0
14720000,145.5,123.0,0,0
14754133,0,0,0,0
14779733,145.0,123.0,0,0
14796800,145.0,123.0,0,0
14865066,145.0,123.0,0,0
14890666,0,0,0,0
14924800,0,0,0,0
14967466,145.0,123.0,0,0
14984533,0,0,0,0
15018666,145.5,123.0,0,0
15078400,145.0,123.0,0,0
15095466,145.0,123.0,0,0
15121066,145.0,123.0,0,0
15138133,0,0,0,0
15189333,145.5,123.0,0,0
15206400,145.5,123.0,0,0
15249066,0,0,0,0
15291733,145.5,123.0,0,0
15308800,0,0,0,0
15360000,0,0,0,0
15394133,0,0,0,0
15419733,145.0,123.0,0,0
15453866,0,0,0,0
15488000,0,0,0,0
15530666,0,0,0,0
15547733,145.5,123.0,0,0
15590400,0,0,0,0
15607466,145.0,123.0,0,0
15658666,145.5,123.0,0,0
15675733,0,0,0,0
15718400,145.0,123.0,0,0
15761066,145.0,123.0,0,0
15803733,0,0,0,0
15829333,145.5,123.0,0,0
15863466,0,0,0,0
15889066,145.0,123.0,0,0
15931733,145.0,123.0,0,0
15948800,145.0,123.0,0,0
15974400,145.0,123.0,0,0
16017066,145.0,123.0,0,0
16059733,0,0,0,0
16076800,0,0,0,0
16093866,0,0,0,0
16170666,0,0,0,0
16187733,0,0,0,0
16247466,0,0,0,0
16247466,0,0,0,0
16264533,0,0,0,0
16315733,0,0,0,0
16358400,0,0,0,0
16375466,0,0,0,0
16418133,0,0,0,0
16443733,97.55223880597015,144.044776119403,0,0
16486400,98.11111111111111,143.7037037037037,0,0
16503466,98.11111111111111,143.7037037037037,0,0
16571733,98.5,144.0,0,0
16588800,0,0,0,0
16640000,0,0,0,0
16657066,0,0,0,0
16699733,0,0,0,0
16716800,146.0,122.0,0,0
16768000,145.9268292682927,122.4390243902439,0,0
16785066,146.17391304347825,122.17391304347827,0,0
16827733,147.0,122.5,0,0
16844800,148.0625,123.0625,0,0
16887466,0,0,0,0
16904533,0,0,0,0
16981333,0,0,0,0
16998400,0,0,0,0
17041066,0,0,0,0
17041066,0,0,0,0
17083733,158.0,128.0,158.0,128.0
17109333,0,0,0,0
17169066,0,0,0,0
17186133,161.57142857142858,129.57142857142858,0,0
17211733,162.0,130.0,0,0
17228800,162.0,130.0,0,0
17280000,162.0,130.0,0,0
17314133,0,0,0,0
17356800,162.0,129.0,0,0
17373866,162.0,129.0,0,0
17425066,0,0,0,0
17450666,128.71153846153845,141.89423076923077,161.57142857142858,128.57142857142858
17484800,112.48684210526316,148.5921052631579,0,0
17510400,112.36764705882354,149.0,0,0
17544533,111.93548387096774,148.9516129032258,0,0
17578666,111.37037037037037,149.0,0,0
17621333,110.92682926829268,148.4390243902439,114.0,148.0
17638400,110.0625,148.0625,0,0
17681066,109.56603773584905,147.9433962264151,0,0
17723733,109.56603773584905,147.9433962264151,0,0
17749333,109.86153846153846,147.35384615384615,0,0
17783466,109.61538461538461,147.0,110.66666666666667,150.0
17826133,109.60526315789474,146.5,108.9375,148.5625
17851733,109.96666666666667,145.95555555555555,109.18181818181819,149.63636363636363
17894400,89.02127659574468,103.70921985815603,0,0
17920000,63.1063829787234,63.82553191489362,0,0
17954133,57.12180746561886,35.56974459724951,0,0
17996800,65.16798941798942,32.75396825396825,38.5406976744186,6.180232558139535
17996800,77.35393258426966,46.76123595505618,54.012269938650306,19.895705521472394
18048000,89.60828625235405,62.53860640301318,68.5,34.0
18090666,99.70574162679426,64.57177033492823,90.07438016528926,80.86363636363636
18124800,109.21126760563381,89.9943661971831,97.78680203045685,83.11675126903553
18150400,118.33053221288516,97.68347338935574,105.19594594594595,77.32432432432432
18184533,127.59785522788204,103.51742627345844,114.7948717948718,89.16666666666667
18235733,136.72307692307692,119.02564102564102,126.18181818181819,95.52447552447552
18261333,147.2625,124.45,136.45714285714286,104.87619047619047
18295466,155.125786163522,132.93710691823898,143.92307692307693,113.52884615384616
18321066,162.04347826086956,139.2360248447205,150.20388349514562,121.3883495145631
18338133,171.56363636363636,146.2,154.61904761904762,129.96190476190475
18389333,177.2312925170068,151.60544217687075,161.7766990291262,138.28155339805826
18406400,185.46206896551723,159.42758620689656,168.6734693877551,145.55102040816325
18449066,195.31147540983608,169.0737704918033,175.55339805825244,152.04854368932038
18491733,203.6638655462185,176.42857142857142,181.9203539823009,159.00884955752213
18508800,203.66666666666666,177.00641025641025,188.87654320987653,167.06172839506172
18534400,215.23728813559322,186.45762711864407,196.2688172043011,173.5268817204301
18594133,219.3984375,191.4375,204.4102564102564,180.5
18619733,231.10743801652893,200.04132231404958,212.02564102564102,187.73076923076923
18653866,239.27027027027026,207.26126126126127,219.75280898876406,193.0
18688000,240.51612903225808,207.2516129032258,228.49122807017545,198.68421052631578
